Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Demo\Demo.csproj,File,Demo\Demo.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 8.0.6,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 8.0.6  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Demo\Demo.csproj,File,Demo\Demo.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Demo\Demo.csproj,File,Demo\Program.cs,58,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo\Demo.csproj,File,Demo\Program.cs,39,4,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"options.BackedUpCredentialPolicy = builder.Configuration.GetValue<Fido2Configuration.CredentialBackupPolicy>(""fido2:backedUpCredentialPolicy"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo\Demo.csproj,File,Demo\Program.cs,38,4,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"options.BackupEligibleCredentialPolicy = builder.Configuration.GetValue<Fido2Configuration.CredentialBackupPolicy>(""fido2:backupEligibleCredentialPolicy"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo\Demo.csproj,File,Demo\Program.cs,36,4,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"options.TimestampDriftTolerance = builder.Configuration.GetValue<int>(""fido2:timestampDriftTolerance"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo\Demo.csproj,File,Demo\Program.cs,33,4,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"options.Origins = builder.Configuration.GetSection(""fido2:origins"").Get<HashSet<string>>();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Demo\Demo.csproj,File,Demo\Program.cs,21,4,M:System.TimeSpan.FromMinutes(System.Double),,,,,options.IdleTimeout = TimeSpan.FromMinutes(2);
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Src\Fido2.AspNet\Fido2.AspNet.csproj,File,Src\Fido2.AspNet\Fido2.AspNet.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Src\Fido2.AspNet\Fido2.AspNet.csproj,File,Src\Fido2.AspNet\Fido2NetLibBuilderExtensions.cs,76,12,T:System.Uri,,,,,"client.BaseAddress = new Uri(""https://mds3.fidoalliance.org/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Src\Fido2.AspNet\Fido2.AspNet.csproj,File,Src\Fido2.AspNet\Fido2NetLibBuilderExtensions.cs,76,12,M:System.Uri.#ctor(System.String),,,,,"client.BaseAddress = new Uri(""https://mds3.fidoalliance.org/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Src\Fido2.AspNet\Fido2.AspNet.csproj,File,Src\Fido2.AspNet\Fido2NetLibBuilderExtensions.cs,76,12,T:System.Uri,,,,,"client.BaseAddress = new Uri(""https://mds3.fidoalliance.org/"");"
